"DateTime","Ensemble ET","Acre-feet","Crop","Area","Field ID","ET Units","Source","Method"
"2018-01-01 05:00:00",0.919,8.756,"Unknown","114.33 Acres","16107332","in","OpenET","https://openetdata.org/#tool"
"2018-02-01 05:00:00",1.072,10.214,
"2018-03-01 05:00:00",1.595,15.197,
"2018-04-01 04:00:00",3.938,37.520,
"2018-05-01 04:00:00",5.745,54.736,
"2018-06-01 04:00:00",7.180,68.409,
"2018-07-01 04:00:00",5.825,55.499,
"2018-08-01 04:00:00",2.823,26.897,
"2018-09-01 04:00:00",2.220,21.151,
"2018-10-01 04:00:00",0.891,8.489,
"2018-11-01 04:00:00",0.512,4.878,
"2018-12-01 05:00:00",0.356,3.392,
"2019-01-01 05:00:00",0.619,5.898,
"2019-02-01 05:00:00",0.780,7.432,
"2019-03-01 05:00:00",2.081,19.827,
"2019-04-01 04:00:00",2.067,19.694,
"2019-05-01 04:00:00",2.950,28.107,
"2019-06-01 04:00:00",5.933,56.528,
"2019-07-01 04:00:00",7.385,70.362,
"2019-08-01 04:00:00",6.814,64.922,
"2019-09-01 04:00:00",4.344,41.388,
"2019-10-01 04:00:00",1.888,17.988,
"2019-11-01 04:00:00",0.337,3.211,
"2019-12-01 05:00:00",0.325,3.096,
"2020-01-01 05:00:00",0.464,4.421,
"2020-02-01 05:00:00",0.560,5.335,
"2020-03-01 05:00:00",1.539,14.663,
"2020-04-01 04:00:00",1.879,17.902,
"2020-05-01 04:00:00",1.439,13.710,
"2020-06-01 04:00:00",1.839,17.521,
"2020-07-01 04:00:00",6.229,59.348,
"2020-08-01 04:00:00",6.558,62.482,
"2020-09-01 04:00:00",1.847,17.598,
"2020-10-01 04:00:00",1.216,11.586,
"2020-11-01 04:00:00",0.812,7.736,
"2020-12-01 05:00:00",0.419,3.992,
"2021-01-01 05:00:00",0.534,5.088,
"2021-02-01 05:00:00",0.976,9.299,
"2021-03-01 05:00:00",1.083,10.318,
"2021-04-01 04:00:00",2.602,24.791,
"2021-05-01 04:00:00",5.841,55.651,
"2021-06-01 04:00:00",8.458,80.585,
"2021-07-01 04:00:00",5.895,56.166,
"2021-08-01 04:00:00",2.947,28.078,
"2021-09-01 04:00:00",2.608,24.848,
"2021-10-01 04:00:00",1.659,15.806,
"2021-11-01 04:00:00",0.591,5.631,
"2021-12-01 05:00:00",0.238,2.268,
"2022-01-01 05:00:00",0.354,3.373,
"2022-02-01 05:00:00",0.492,4.688,
"2022-03-01 05:00:00",2.071,19.732,
"2022-04-01 04:00:00",2.016,19.208,
"2022-05-01 04:00:00",3.472,33.080,
"2022-06-01 04:00:00",5.610,53.450,
"2022-07-01 04:00:00",8.196,78.089,
"2022-08-01 04:00:00",4.317,41.131,
"2022-09-01 04:00:00",1.870,17.817,
"2022-10-01 04:00:00",0.810,7.717,
"2022-11-01 04:00:00",0.617,5.879,
"2022-12-01 05:00:00",0.649,6.183,
"2023-01-01 05:00:00",0.643,6.126,
"2023-02-01 05:00:00",0.212,2.020,
"2023-03-01 05:00:00",1.327,12.643,
"2023-04-01 04:00:00",2.395,22.819,
"2023-05-01 04:00:00",5.626,53.603,
"2023-06-01 04:00:00",6.833,65.103,
"2023-07-01 04:00:00",7.296,69.514,
"2023-08-01 04:00:00",3.340,31.822,
