"DateTime","Precip (gridMET)","Acre-feet","Ensemble ET","Acre-feet","NDVI","Crop","Area","Field ID","ET Units","Source","Method"
"2018-01-01 05:00:00",2.282,29.477,1.374,17.748,0.308,"Unknown","155.00 Acres","06259141","in","OpenET","https://openetdata.org/#tool"
"2018-02-01 05:00:00",0.273,3.526,1.048,13.537,0.252,
"2018-03-01 05:00:00",5.872,75.849,2.293,29.619,0.237,
"2018-04-01 04:00:00",0.482,6.226,3.547,45.817,0.369,
"2018-05-01 04:00:00",0.213,2.751,4.678,60.426,0.437,
"2018-06-01 04:00:00",0.009,0.116,4.943,63.849,0.434,
"2018-07-01 04:00:00",0.005,0.065,5.548,71.664,0.437,
"2018-08-01 04:00:00",0.000,0.000,4.669,60.309,0.435,
"2018-09-01 04:00:00",0.010,0.129,3.484,45.003,0.436,
"2018-10-01 04:00:00",0.229,2.958,2.583,33.365,0.484,
"2018-11-01 04:00:00",2.207,28.508,1.737,22.437,0.473,
"2018-12-01 05:00:00",1.423,18.381,1.223,15.797,0.436,
"2019-01-01 05:00:00",5.523,71.341,1.120,14.467,0.382,
"2019-02-01 05:00:00",6.818,88.068,1.419,18.329,0.274,
"2019-03-01 05:00:00",4.036,52.133,2.137,27.604,0.293,
"2019-04-01 04:00:00",0.133,1.718,3.922,50.660,0.466,
"2019-05-01 04:00:00",2.637,34.062,5.459,70.514,0.604,
"2019-06-01 04:00:00",0.079,1.020,8.162,105.429,0.684,
"2019-07-01 04:00:00",0.000,0.000,8.672,112.016,0.711,
"2019-08-01 04:00:00",0.000,0.000,7.540,97.394,0.672,
"2019-09-01 04:00:00",0.052,0.672,4.508,58.230,0.538,
"2019-10-01 04:00:00",0.000,0.000,2.697,34.837,0.495,
"2019-11-01 04:00:00",2.083,26.906,1.806,23.328,0.487,
"2019-12-01 05:00:00",4.202,54.277,1.200,15.500,0.473,
"2020-01-01 05:00:00",0.454,5.864,1.416,18.290,0.421,
"2020-02-01 05:00:00",0.153,1.976,1.583,20.448,0.299,
"2020-03-01 05:00:00",4.275,55.220,2.801,36.181,0.435,
"2020-04-01 04:00:00",3.952,51.048,4.341,56.073,0.607,
"2020-05-01 04:00:00",0.278,3.591,6.439,83.173,0.655,
"2020-06-01 04:00:00",0.056,0.723,6.217,80.305,0.580,
"2020-07-01 04:00:00",0.000,0.000,5.938,76.701,0.494,
"2020-08-01 04:00:00",0.000,0.000,5.166,66.729,0.446,
"2020-09-01 04:00:00",0.000,0.000,3.718,48.025,0.440,
"2020-10-01 04:00:00",0.001,0.013,2.458,31.750,0.398,
"2020-11-01 04:00:00",0.353,4.560,1.762,22.760,0.443,
"2020-12-01 05:00:00",1.295,16.728,1.306,16.870,0.404,
"2021-01-01 05:00:00",2.779,35.896,1.330,17.180,0.301,
"2021-02-01 05:00:00",0.226,2.919,1.665,21.507,0.243,
"2021-03-01 05:00:00",1.230,15.888,3.197,41.296,0.379,
"2021-04-01 04:00:00",0.100,1.292,5.102,65.903,0.522,
"2021-05-01 04:00:00",0.003,0.039,6.635,85.704,0.565,
"2021-06-01 04:00:00",0.001,0.013,7.747,100.068,0.583,
"2021-07-01 04:00:00",0.033,0.426,7.999,103.323,0.590,
"2021-08-01 04:00:00",0.015,0.194,6.236,80.550,0.551,
"2021-09-01 04:00:00",0.045,0.581,3.432,44.331,0.450,
"2021-10-01 04:00:00",1.373,17.735,2.680,34.618,0.523,
"2021-11-01 04:00:00",0.022,0.284,1.893,24.452,0.467,
"2021-12-01 05:00:00",7.740,99.978,1.205,15.565,0.448,
"2022-01-01 05:00:00",0.120,1.550,1.545,19.957,0.377,
"2022-02-01 05:00:00",0.159,2.054,2.167,27.991,0.342,
"2022-03-01 05:00:00",1.457,18.820,3.618,46.734,0.485,
"2022-04-01 04:00:00",0.368,4.753,5.414,69.933,0.622,
"2022-05-01 04:00:00",0.002,0.026,6.681,86.298,0.611,
"2022-06-01 04:00:00",0.157,2.028,7.392,95.482,0.590,
"2022-07-01 04:00:00",0.008,0.103,7.637,98.647,0.594,
"2022-08-01 04:00:00",0.091,1.175,6.451,83.328,0.558,
"2022-09-01 04:00:00",0.478,6.174,4.267,55.117,0.558,
"2022-10-01 04:00:00",0.042,0.543,3.218,41.567,0.534,
"2022-11-01 04:00:00",1.780,22.992,1.958,25.291,0.550,
"2022-12-01 05:00:00",4.467,57.700,1.142,14.751,0.430,
"2023-01-01 05:00:00",10.303,133.084,1.531,19.776,0.390,
"2023-02-01 05:00:00",6.017,77.722,1.678,21.675,0.370,
"2023-03-01 05:00:00",7.746,100.055,2.655,34.295,0.472,
"2023-04-01 04:00:00",0.024,0.310,5.113,66.045,0.611,
"2023-05-01 04:00:00",0.502,6.484,6.703,86.583,0.653,
"2023-06-01 04:00:00",0.360,4.650,6.806,87.913,0.635,
"2023-07-01 04:00:00",0.000,0.000,8.124,104.938,0.572,
"2023-08-01 04:00:00",3.028,39.113,6.198,80.060,0.557,

